100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
254 1 2 3 1 1 2 2 2 1 1 1 1 2 1 2 1 1 1 2 1 2 2 2 2 1 1 1 2 1 310 1 2 1 1 4 1 2 2 1 2 1 1 1 1 345 2 2 3 1 2 1 2 1 2 3 2 1 2 1 1 1 1 2 1 1 2 1 2 1 2 1 2 1 1
0.393509112 92.741322818 59.79348954 39.426182888 120.41625005499999 87.890736315 60.719806244 59.895960507999995 41.097477955 115.122812461 99.824089932 83.80845596799999 68.981347352 59.152946887 70.171090061 56.256226746 72.666419491 97.734304614 70.318571446 58.838274538 97.170979905 54.203242780000004 58.43010929 59.744671147 51.352561965 68.758893316 89.21634544 88.590739662 58.591790429 110.277044101 0.322566829 91.968492595 53.963245782 96.32605148399999 72.005484177 22.358384441 94.85702254099999 42.634493735 57.438188426 90.73454617 47.492346641 81.874055209 67.41092952000001 71.841721427 79.168362886 0.289885663 60.418428736 40.369859645999995 39.571595307 72.031784663 41.784535311 116.54629899199999 51.436721332 99.114605764 40.668917085000004 29.075044354000003 59.639076537 97.580308325 62.220068679 78.336369572 72.31981396299999 70.950737781 88.848577499 66.519155618 93.11879045299999 69.557306121 41.911998134 96.312621889 60.721064204 78.150961965 62.668230401 107.168529937 60.111912513 78.828169612 78.8182473
3.8 927.2 597.7 394.1 1203.9 878.7 607 598.7 410.8 1151 998 837.9 689.6 591.3 701.5 562.3 726.4 977.1 703 588.2 971.5 541.8 584.1 597.3 513.3 687.4 892 885.7 585.7 1102.5 3.1 919.4 539.4 963.1 719.9 223.4 948.3 426.2 574.2 907.2 474.7 818.5 673.9 718.2 791.5 2.8 604 403.5 395.5 720.1 417.7 1165.2 514.2 990.9 406.5 290.6 596.2 975.6 622 783.2 723 709.3 888.3 665 931 695.4 418.9 962.9 607 781.3 626.5 1071.4 600.9 788.1 788
