100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0
177 2 4 2 3 1 1 1 2 1 2 1 1 1 1 2 1 2 2 1 2 2 2 1 1 7 2 2 1 1 1 2 2 1 2 1 1 1 2 2 1 2 2 1 2 264 3 1 2 1 1 5 1 2 2 2 2 2 2 1 175 1 2 1 1 1 1 1 2 1 1 2 1 2 1
0.563644029 41.747826976999995 27.427211621999998 66.533428883 38.841239219 92.095445313 69.054067339 97.38978319099999 63.912990578999995 79.170652173 59.163615211 68.316316149 91.565900307 90.53856410499999 87.692463127 54.333292912 67.465497523 42.180723635 59.186125079 89.277362396 59.101461398 52.277590656 45.688606809999996 71.174796374 98.668815514 14.162343194 57.678448325999994 59.836404439 88.023019353 99.773003977 71.00784209000001 52.186034439000004 60.225246930000004 77.449776903 42.696867409999996 99.126821847 85.258220847 72.64987254500001 60.215188731000005 52.421378524 76.29828178999999 60.106768534000004 40.717015171999996 83.638504395 63.831057087 0.379119306 36.524868598 67.643190596 58.76522894 98.73839209100001 112.081206382 21.150840786 78.869715127 57.938473011 50.238170561 60.326528601 57.662153365 53.802633495 56.831869880999996 100.63587833599999 0.573013039 123.714364026 60.182657172 93.06359851799999 114.99220883400001 86.990142668 71.038630891 80.60900805600001 59.407749007999996 109.712078945 90.64387500299999 59.131003178 79.164451724 42.757138807000004 76.573406494
5.5 417.3 274.1 665.1 388.2 920.7 690.3 973.7 639 791.5 591.5 683 915.5 905.2 876.7 543.1 674.4 421.6 591.6 892.6 590.8 522.6 456.7 711.6 986.5 141.5 576.6 598.2 880 997.5 709.9 521.6 602 774.3 426.7 991 852.4 726.3 601.9 524 762.7 600.9 407 836.2 638.1 3.6 365 676.2 587.5 987.1 1120.6 211.3 788.4 579.2 502.2 603 576.4 537.8 568.1 1006.2 5.6 1236.9 601.6 930.4 1149.7 869.7 710.2 805.9 593.9 1096.9 906.2 591.1 791.5 427.4 765.5
