0 25 0 0 0 0 23 0 40 0 40 0 0 0 0 50 0 0 30 0 0 2 0 0 0 0 0 0 36 0 0 0 29 0 0 0 0 27 0 0 0 0 0 0 26 0 40 0 40 0 0 0 6 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 33 0 0 0 0 26
2 3 1 2 2 1 2 22 3 2 80 3 1 2 1 279 2 2 2 1 1 3 2 1 2 2 1 1 57 4 1 3 3 1 2 1 4 3 2 2 1 1 2 3 3 2 73 3 56 1 2 1 3 1 1 1 1 2 1 2 1 2 3 1 2 1 2 2 2 3 2 1 1 2 3
25.187460238 19.815766423 38.137948848 20.251484538 20.581111671 40.083325773999995 28.725383705 2.2894425540000003 18.025423113000002 20.187109444 0.6240635529999999 17.990422969 38.590791509 31.931314922000002 37.895951978999996 0.179112086 29.782895356 22.49329257 20.948851358 49.594927813000005 40.330502497000005 19.429240109 31.035910392 57.303809583 22.169586058 28.357313879 38.990240202 38.847098509000006 0.881754036 11.885247654999999 49.416289019000004 19.892296845 18.716388111 38.682633487 20.432101777 38.396501498999996 12.804679228000001 18.525803077 30.261394131 29.993914169 37.504216547999995 50.196429032 31.053967221 18.763961695 19.377050217 29.514002857 0.684507573 19.765448444 0.890592535 36.807751859 30.449609556 60.839791676 19.426943096 47.602826621 40.003543242 39.551007464 50.979297741 20.733769849 37.989276728 20.617149465999997 39.305787898000005 20.20020439 18.446229789 57.355188427 32.809972724 39.00455833 21.151027589 27.718089641 30.590437324 18.644782056 31.135486818 49.451500794 67.960183374 31.952828954 19.800978351
503.4 396 762.4 404.7 411.3 801.3 574.2 45.6 360.2 403.4 12.2 359.5 771.5 638.3 757.6 3.4 595.3 449.5 418.7 991.6 806.3 388.3 620.4 1145.7 443.1 566.8 779.5 776.5 17.4 237.4 988.1 397.4 374 773.3 408.3 767.6 255.7 370.2 604.9 599.6 749.8 1003.6 620.7 374.9 387.2 590 13.5 394.9 17.5 735.8 608.7 1216.5 388.2 951.8 799.7 790.7 1019.3 414.4 759.5 412 785.7 403.7 368.6 1146.7 655.9 779.8 422.7 554 611.5 372.6 622.4 988.6 1358.9 638.8 395.7
